time,a_max,a_min,a_mean,a_std,a_med,g_max,g_min,g_mean,g_std,g_med,f_max,f_min,f_mean,f_std,f_med
2005,0.633,-0.705,-0.003,0.053,-0.0,0.723,-0.855,-0.02,0.08,-0.002,1.0,-1.0,-0.011,0.34,0.0
2010,0.61,-0.686,-0.002,0.063,-0.0,0.723,-0.86,-0.02,0.08,-0.002,1.0,-1.0,-0.014,0.34,0.0
2020,0.639,-0.567,0.0,0.07,0.004,0.813,-0.979,-0.014,0.086,-0.001,1.0,-1.0,-0.016,0.34,-0.001
2030,0.71,-0.579,0.0,0.076,0.003,0.843,-1.0,-0.013,0.096,-0.0,1.0,-1.0,-0.012,0.335,-0.001
2040,0.776,-0.658,0.001,0.083,0.005,0.925,-1.0,-0.012,0.111,-0.0,1.0,-1.0,-0.011,0.335,-0.001
2050,0.743,-0.668,0.001,0.091,0.007,0.942,-1.0,-0.011,0.122,-0.0,1.0,-1.0,-0.011,0.337,-0.002
2060,0.843,-0.781,0.001,0.1,0.008,0.952,-1.0,-0.01,0.131,0.0,1.0,-1.0,-0.012,0.343,-0.004
2070,0.83,-0.815,0.001,0.108,0.007,0.952,-1.0,-0.009,0.143,0.0,1.0,-1.0,-0.014,0.351,-0.006
2080,0.823,-0.825,0.001,0.116,0.008,0.973,-1.0,-0.009,0.151,0.0,1.0,-1.0,-0.015,0.358,-0.007
2090,0.825,-0.833,0.001,0.124,0.009,0.973,-1.0,-0.008,0.16,0.0,1.0,-1.0,-0.014,0.363,-0.004
2100,0.893,-0.885,0.001,0.131,0.009,0.973,-0.999,-0.008,0.168,0.0,1.0,-1.0,-0.015,0.367,-0.004
